Lesson,Question,Choice A,Choice B,Choice C,Choice D,Answer
DeFi,What are the three major types of DEX liquidity provision spreads?,"DLMM, ASM, BBM","AMM,CLMM,DLMM","UMM,MBS,MBB","CLL,AMM,MMM",B
DeFi,Which is not a DeFi protocol on Solana?,Kamino,Orca,Raydium,Uniswap,D
DeFi,What is it called when the price of your tokens changes while supplying LP but you only take on the loss upon exiting the position?,Fixed Loss,Concentrated Loss,Impermanent Loss,Slippage Loss,C
DeFi,Which can cause your transaction to fail if not met?,Slippage,Price Impact,Swap Fee,LP Fee,A
DeFi,"In DeFi yield is king, what does the term APR mean?",Annual Percentage Route,Automatic Percentage Rate,Annual Percentage Rate,Automatic Personal Rate,C
Wallets,The original wallets were called?,Wallet,PWs,JBOKs,Keys,C
Wallets,The safest way to store your crypto is by using a _____?,Software Wallet,Hardware Wallet,Locked Wallet,Secure Wallet,B
Wallets,You can't protect your seed phrase if it is _______,On your phone,Stored Offline,Printed,In a secure location,A
Wallets,A wallet whereby multiple signers are needed is called a ___? ,Manysig,Multiwallet,Manystorage,Multisig,D
Wallets,The main purpose of a burner wallet is to ___?,Be used all the time,Make one transaction,Hold all your tokens,Do all your trades,B
DYOR,What is DD?,Double Duty,Due Diligence,Don't Do,Diligence Doing,B
DYOR,When researching a protocol you shouldn't care about ____?,The X Likes,Organic Posting,Protocol Funding,Team Transparency,A
DYOR,"An understanding of tokenomics can be an early warning about scams, a protocol with ______ is a red flag",An Influencer,Long Unlock Periods,Low Valuation,Immediate Team Unlock,D
DYOR,Any protocol that created their own smart contract should have at least one ____.,CEO,Audit,Developer,Investor,B
DYOR,"All protocols have to deal with PMF, what does it mean?",Project Marketing Failure,People Market Filter,Product Market Fit,Product Maker Fill,C
Governance,Which DAO lead to the ETH hard fork?,MakerDAO,MonkeDAO,ConstitutionDAO,The DAO,D
Governance,Which isn't used by DAOs?,Proposals,Votes,Ballots,On-Chain Voting,C
Governance,What is the most common form of voting rights within a DAO?,One Token One Vote,Stake Weight,One NFT One Vote,Mixed Voting Weight,A
Governance,Which of these is not a pillar of a DAO organization?,Measuring Sentiment,Voter Rights,Treasury Management,Stakeholder Engagement,B
Governance,A ______ DAO focuses on pooling capital and where to deploy it.,Social,Collector,Grant,Investment,D
Governance,DAO stands for ____________,Dudes Arguing Online,Debate And Organization,Decentralized Autonomous Organization,Dencentralized Automatic Operations,C
Governance,Governance is used as a way to ______.,Allow users to lead a protocol,Give users a voice in a protocol,Have an excuse to argue,Take away power from the team,B
Hype,"Scarcity, ______, and FOMO are some of the greatest tools used against us.",Reciprocity,Exclusivity,Hype,Excitement,B
Hype,____________ is one of the most common endings to a project where all assets and funding are taken.,A dead project,A failed startup,A rug pull,A mess up,C
Hype,You can combat hype by ______ and being patient before jumping in.,BYOB,BRB,DOYR,DYOR,D
Trading,The first perpetual future trading was launched by _____ in 2016.,ByBit,Coinbase,Binance,BitMEX,D
Trading,The main difference between an order book and an oracle-based pool is __________.,Difficulty,Settlement,Trading Fees,Liquidity,C
Trading,When you trade a ______ you are not buying or selling the asset directly.,Derivative,Supplement,Asset,Token,A
Trading,Crypto trading is mainly done using a ____ . ,DEX,CEX,Brokerage Account,Bank,A
Trading,The most commonly traded tokens during the height of PumpFun were ______ . ,NFTs,Layer One Tokens,Commodities,Memes,D
Validators,Validators do not _________.,Produce blocks,participate in consensus,increase value,validate transactions,C
Validators,Solana's transaction fees are composed of ______ and _____ fees.,base and priority,jito and staked,deep and low,MEV and block,A
Validators,_____ staking is when your SOL is delegated to a validator and your wallet owns the delegated stake account.,Liquid,Non-Liquid,Non-Native,Native,D
NFTs,The first NFT was created on _______ blockchain.,Bitcoin,Namecoin,Vertcoin,Litecoin,B
NFTs,NFTs have not been used for _______.,Houses,Music,Art,Cars,D
NFTs,Which is not a token standard on SOL?,pNFT,MPL-404,bNFT,cNFT,C
NFTs,"Some NFTs can be broken down into fractions, what is this process called?",Splitting,Fractionalization,Breaking Apart,Dividing,B
NFTs,"The most iconic NFTs are from ETH, which is not an ETH collection?",Madlads,CryptoPunks,Board Ape Yacht Club (BAYC),Pudgy Penguins,A
Stablecoins,The process of creation of a stablecoin needs a ________ method to make sure it remains stable.,Organization,Implementation,Collateralization,Redemption,C
Stablecoins,Which of these is not a method of collateralization?,Commodity-Backed,Automatic,Algorithmic,Crypto-Collateralized,B
Stablecoins,Which is the largest stablecoin on SOL?,USDT,PYUSD,USDS,USDC,D
Stablecoins,Which stable coin failed along with its chain?,TerraUSD,EUROC,PAXG,USGS,A
